Model,MDO4054-3
Firmware Version,2.10

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.02
Horizontal Delay,0.05978
Sample Interval,2e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,-4.02
,
,
,
Label,
TIME,CH1
-2.6320e-02,15.08
-2.6300e-02,14.76
-2.6280e-02,14.84
-2.6260e-02,15.08
-2.6240e-02,15.24
-2.6220e-02,15.08
-2.6200e-02,14.76
-2.6180e-02,14.92
-2.6160e-02,15.16
-2.6140e-02,15.24
-2.6120e-02,15
-2.6100e-02,14.84
-2.6080e-02,14.76
-2.6060e-02,15.08
-2.6040e-02,15.24
-2.6020e-02,15.16
-2.6000e-02,14.68
-2.5980e-02,14.92
-2.5960e-02,15.16
-2.5940e-02,15.24
-2.5920e-02,15
-2.5900e-02,14.68
-2.5880e-02,14.92
-2.5860e-02,15.08
-2.5840e-02,15.24
-2.5820e-02,15.16
-2.5800e-02,14.76
-2.5780e-02,14.84
-2.5760e-02,15.16
-2.5740e-02,15.24
-2.5720e-02,15.08
-2.5700e-02,14.84
-2.5680e-02,14.92
-2.5660e-02,15.24
-2.5640e-02,15.24
-2.5620e-02,15.08
-2.5600e-02,14.68
-2.5580e-02,14.84
-2.5560e-02,15.08
-2.5540e-02,15.32
-2.5520e-02,15.16
-2.5500e-02,14.92
-2.5480e-02,14.84
-2.5460e-02,15.16
-2.5440e-02,15.24
-2.5420e-02,15
-2.5400e-02,14.92
-2.5380e-02,14.84
-2.5360e-02,15.24
-2.5340e-02,15.16
-2.5320e-02,15
-2.5300e-02,14.76
-2.5280e-02,14.84
-2.5260e-02,15.08
-2.5240e-02,15.24
-2.5220e-02,15.08
-2.5200e-02,14.68
-2.5180e-02,14.92
-2.5160e-02,15.16
-2.5140e-02,15.24
-2.5120e-02,15.08
-2.5100e-02,14.76
-2.5080e-02,15
-2.5060e-02,15.24
-2.5040e-02,15.24
-2.5020e-02,15.08
-2.5000e-02,14.84
-2.4980e-02,14.92
-2.4960e-02,15.24
-2.4940e-02,15.32
-2.4920e-02,15.08
-2.4900e-02,14.84
-2.4880e-02,14.92
-2.4860e-02,15.08
-2.4840e-02,15.24
-2.4820e-02,15
-2.4800e-02,14.92
-2.4780e-02,14.92
-2.4760e-02,15.16
-2.4740e-02,15.24
-2.4720e-02,15.08
-2.4700e-02,14.92
-2.4680e-02,14.84
-2.4660e-02,15.24
-2.4640e-02,15.24
-2.4620e-02,14.92
-2.4600e-02,14.92
-2.4580e-02,15
-2.4560e-02,15.16
-2.4540e-02,15.32
-2.4520e-02,15.08
-2.4500e-02,14.84
-2.4480e-02,15
-2.4460e-02,15.16
-2.4440e-02,15.32
-2.4420e-02,15.08
-2.4400e-02,14.84
-2.4380e-02,14.92
-2.4360e-02,15.16
-2.4340e-02,15.32
-2.4320e-02,15.08
-2.4300e-02,14.84
-2.4280e-02,14.92
-2.4260e-02,15.16
-2.4240e-02,15.4
-2.4220e-02,15.24
-2.4200e-02,14.76
-2.4180e-02,15
-2.4160e-02,15.24
-2.4140e-02,15.24
-2.4120e-02,15.08
-2.4100e-02,14.84
-2.4080e-02,14.84
-2.4060e-02,15.24
-2.4040e-02,15.24
-2.4020e-02,15.16
-2.4000e-02,14.76
-2.3980e-02,14.84
-2.3960e-02,15.08
-2.3940e-02,15.32
-2.3920e-02,15.08
-2.3900e-02,14.92
-2.3880e-02,15
-2.3860e-02,15.08
-2.3840e-02,15.24
-2.3820e-02,15.08
-2.3800e-02,14.84
-2.3780e-02,14.84
-2.3760e-02,15.08
-2.3740e-02,15.24
-2.3720e-02,15.08
-2.3700e-02,14.92
-2.3680e-02,14.92
-2.3660e-02,15.24
-2.3640e-02,15.48
-2.3620e-02,15
-2.3600e-02,14.84
-2.3580e-02,14.84
-2.3560e-02,15.16
-2.3540e-02,15.24
-2.3520e-02,15.08
-2.3500e-02,14.84
-2.3480e-02,15
-2.3460e-02,15.24
-2.3440e-02,15.24
-2.3420e-02,15.08
-2.3400e-02,14.92
-2.3380e-02,14.92
-2.3360e-02,15.08
-2.3340e-02,15.24
-2.3320e-02,15.08
-2.3300e-02,14.84
-2.3280e-02,14.92
-2.3260e-02,15.08
-2.3240e-02,15.16
-2.3220e-02,15
-2.3200e-02,14.68
-2.3180e-02,14.84
-2.3160e-02,15.08
-2.3140e-02,15.24
-2.3120e-02,15.08
-2.3100e-02,14.84
-2.3080e-02,14.76
-2.3060e-02,15.08
-2.3040e-02,15.24
-2.3020e-02,15
-2.3000e-02,14.84
-2.2980e-02,14.84
-2.2960e-02,15.24
-2.2940e-02,15.32
-2.2920e-02,15.08
-2.2900e-02,14.84
-2.2880e-02,14.84
-2.2860e-02,15.16
-2.2840e-02,15.16
-2.2820e-02,15.16
-2.2800e-02,14.68
-2.2780e-02,14.84
-2.2760e-02,15.32
-2.2740e-02,15.48
-2.2720e-02,15.16
-2.2700e-02,14.92
-2.2680e-02,15.08
-2.2660e-02,15.08
-2.2640e-02,15.24
-2.2620e-02,15.08
-2.2600e-02,14.76
-2.2580e-02,14.84
-2.2560e-02,15.24
-2.2540e-02,15.24
-2.2520e-02,15
-2.2500e-02,14.84
-2.2480e-02,14.84
-2.2460e-02,15.16
-2.2440e-02,15.24
-2.2420e-02,14.92
-2.2400e-02,14.76
-2.2380e-02,14.84
-2.2360e-02,15.16
-2.2340e-02,15.24
-2.2320e-02,15
-2.2300e-02,14.92
-2.2280e-02,14.92
-2.2260e-02,15.08
-2.2240e-02,15.32
-2.2220e-02,15.16
-2.2200e-02,14.68
-2.2180e-02,14.92
-2.2160e-02,15.08
-2.2140e-02,15.24
-2.2120e-02,15
-2.2100e-02,14.84
-2.2080e-02,15
-2.2060e-02,15.24
-2.2040e-02,15.4
-2.2020e-02,15.08
-2.2000e-02,14.84
-2.1980e-02,14.92
-2.1960e-02,15.08
-2.1940e-02,15.32
-2.1920e-02,15.16
-2.1900e-02,14.76
-2.1880e-02,14.92
-2.1860e-02,15.24
-2.1840e-02,15.32
-2.1820e-02,15.08
-2.1800e-02,14.84
-2.1780e-02,14.92
-2.1760e-02,15.32
-2.1740e-02,15.32
-2.1720e-02,15.16
-2.1700e-02,14.92
-2.1680e-02,15
-2.1660e-02,15.32
-2.1640e-02,15.32
-2.1620e-02,15.08
-2.1600e-02,14.76
-2.1580e-02,15
-2.1560e-02,15.16
-2.1540e-02,15.24
-2.1520e-02,15
-2.1500e-02,14.84
-2.1480e-02,14.84
-2.1460e-02,15.16
-2.1440e-02,15.32
-2.1420e-02,14.92
-2.1400e-02,14.84
-2.1380e-02,14.84
-2.1360e-02,15.08
-2.1340e-02,15.24
-2.1320e-02,14.92
-2.1300e-02,14.76
-2.1280e-02,15
-2.1260e-02,15.16
-2.1240e-02,15.24
-2.1220e-02,15
-2.1200e-02,14.76
-2.1180e-02,14.84
-2.1160e-02,15.08
-2.1140e-02,15.16
-2.1120e-02,15.08
-2.1100e-02,14.68
-2.1080e-02,14.76
-2.1060e-02,15.16
-2.1040e-02,15.24
-2.1020e-02,15
-2.1000e-02,14.84
-2.0980e-02,14.92
-2.0960e-02,15.16
-2.0940e-02,15.16
-2.0920e-02,15
-2.0900e-02,14.76
-2.0880e-02,15
-2.0860e-02,15.08
-2.0840e-02,15.16
-2.0820e-02,15.08
-2.0800e-02,14.68
-2.0780e-02,14.84
-2.0760e-02,15.08
-2.0740e-02,15.24
-2.0720e-02,15
-2.0700e-02,14.68
-2.0680e-02,14.84
-2.0660e-02,15.24
-2.0640e-02,15.24
-2.0620e-02,14.84
-2.0600e-02,14.6
-2.0580e-02,14.84
-2.0560e-02,15.16
-2.0540e-02,15.24
-2.0520e-02,14.92
-2.0500e-02,14.84
-2.0480e-02,14.92
-2.0460e-02,15.08
-2.0440e-02,15.24
-2.0420e-02,15.08
-2.0400e-02,14.84
-2.0380e-02,14.84
-2.0360e-02,15.16
-2.0340e-02,15.24
-2.0320e-02,15
-2.0300e-02,14.92
-2.0280e-02,15
-2.0260e-02,15.16
-2.0240e-02,15.24
-2.0220e-02,15
-2.0200e-02,14.84
-2.0180e-02,14.76
-2.0160e-02,15.16
-2.0140e-02,15.24
-2.0120e-02,15
-2.0100e-02,14.68
-2.0080e-02,14.76
-2.0060e-02,15
-2.0040e-02,15.16
-2.0020e-02,14.84
-2.0000e-02,14.84
-1.9980e-02,14.76
-1.9960e-02,15
-1.9940e-02,15.16
-1.9920e-02,14.92
-1.9900e-02,14.76
-1.9880e-02,14.92
-1.9860e-02,15.16
-1.9840e-02,15.24
-1.9820e-02,15.08
-1.9800e-02,14.76
-1.9780e-02,14.92
-1.9760e-02,15.24
-1.9740e-02,15.32
-1.9720e-02,15.08
-1.9700e-02,14.76
-1.9680e-02,14.92
-1.9660e-02,15.24
-1.9640e-02,15.32
-1.9620e-02,15
-1.9600e-02,14.84
-1.9580e-02,14.84
-1.9560e-02,15.16
-1.9540e-02,15.24
-1.9520e-02,15
-1.9500e-02,14.76
-1.9480e-02,15
